id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15347268,Modern Luxury 2 Bed/ 2 Bath apartment in Midtown!,836168,Henry,Manhattan,Midtown,40.75425,-73.98312,Entire home/apt,2000,30,4,3/11/2017,0.12,11,365
14408114,Unparalleled Luxury in Midtown Manhattan,836168,Henry,Manhattan,Midtown,40.76455,-73.97959,Entire home/apt,2500,30,4,4/17/2017,0.13,11,364
21658519,Spacious studio in luxury Manhattan condo,862657,Alex,Manhattan,Midtown,40.7451,-73.98139,Entire home/apt,250,2,11,11/24/2018,0.57,1,22
28324221,740 sqf large luxury apt w doorman midtown east,875830,Sacha,Manhattan,Midtown,40.75278,-73.97107,Entire home/apt,169,30,5,5/13/2019,0.7,1,280
13459473,Spacious room in Midtown East Manhattan,956383,Andrew,Manhattan,Midtown,40.75896,-73.96439,Private room,105,7,0,,,1,0
22031539,Manhattan Club,983223,Dorothy,Manhattan,Midtown,40.76581,-73.98235,Private room,200,2,1,12/28/2017,0.05,1,0
9845284,Clean Classic NYC Studio,1134635,Amelia,Manhattan,Midtown,40.74251,-73.98414,Entire home/apt,150,2,1,1/4/2017,0.03,1,0
225297,Quiet sunny studio Midtown,1173599,Gaya,Manhattan,Midtown,40.74267,-73.98569,Entire home/apt,125,4,3,12/26/2018,0.03,1,0
20523979,"1 Bed, 2 Bath Fully Furnished Upper East Side Apt",1188096,Michael,Manhattan,Midtown,40.75751,-73.96464,Entire home/apt,233,90,0,,,1,365
233662,Large Sunny Luxe Prvt Room/Midtown,1223568,Tiffany,Manhattan,Midtown,40.75575,-73.96842,Private room,110,2,61,5/18/2019,0.65,1,264
235951,Stylish Studio with exclusive Terrace,1236070,Dan,Manhattan,Midtown,40.75348,-73.97065,Entire home/apt,190,30,136,6/19/2019,1.45,1,120
33682910,Gorgeous and Huge One BR and sofa bed in LR too!,1328716,Susan,Manhattan,Midtown,40.75544,-73.96452,Entire home/apt,195,2,1,5/27/2019,0.7,1,117
35991170,"Heart of NYC! - Large, Spacious, Bright 1 Bedroom!",1386697,Andreas,Manhattan,Midtown,40.75913,-73.96487,Entire home/apt,133,30,0,,,1,246
360400,Beautiful Room in Manhattan Loft,1386983,Candice,Manhattan,Midtown,40.74553,-73.98943,Private room,135,3,214,6/2/2019,2.45,2,167
403264,Luxury room in Manhattan Duplex Apt,1386983,Candice,Manhattan,Midtown,40.7453,-73.99056,Private room,145,3,165,7/3/2019,1.88,2,181
271694,"Easy, comfortable studio in Midtown",1387370,James,Manhattan,Midtown,40.75282,-73.97315,Entire home/apt,125,365,19,9/8/2015,0.21,1,365
7403613,Spacious NOMAD 1 BR for 4,1405974,Alexander,Manhattan,Midtown,40.74603,-73.98364,Entire home/apt,150,3,1,8/7/2015,0.02,1,0
1357021,MIDTOWN EAST 1BR APARTMENT - NEW,1411399,Carlos,Manhattan,Midtown,40.75639,-73.96558,Entire home/apt,219,1,78,6/22/2019,1.1,5,301
13991186,Well appointment apartment in doorman building,1419430,M,Manhattan,Midtown,40.76543,-73.97929,Entire home/apt,275,2,2,4/9/2017,0.06,1,0
23902905,Shared Room in Midtown East,1429710,Bonnie,Manhattan,Midtown,40.75693,-73.97078,Shared room,63,1,18,6/3/2019,1.2,1,56
13489234,Cozy 1BR in Midtown Manhattan,1455109,Nina,Manhattan,Midtown,40.75823,-73.96453,Entire home/apt,175,1,2,6/23/2016,0.05,1,0
12342979,Beautiful Room - Ideal for Business Travelers!,1462483,Danny,Manhattan,Midtown,40.74566,-73.9834,Private room,100,4,40,6/19/2019,3.36,2,164
27111405,King Bedroom - Ideal for Business Travelers,1462483,Danny,Manhattan,Midtown,40.74585,-73.98237,Private room,100,4,32,6/26/2019,2.87,2,174
1142034,Large Flatiron 2 bedroom,1474508,Samuel,Manhattan,Midtown,40.74658,-73.98847,Entire home/apt,115,2,70,6/3/2019,0.95,1,120
9792323,Brand New Studio!! UNITED NATIONS!!,1475015,Mike,Manhattan,Midtown,40.75185,-73.97001,Entire home/apt,83,30,3,4/19/2019,0.09,52,331
16466819,Grand Central / United Nations Beautiful Studio!!,1475015,Mike,Manhattan,Midtown,40.75072,-73.97023,Entire home/apt,83,30,0,,,52,325
25371837,Beautiful United Nations Studio/ Best location.,1475015,Mike,Manhattan,Midtown,40.75215,-73.97152,Entire home/apt,83,30,0,,,52,309
6106544,Beautiful HUGE Studio.. 52ST 3AVE.,1475015,Mike,Manhattan,Midtown,40.75621,-73.96802,Entire home/apt,85,30,4,12/3/2018,0.12,52,342
13064717,76 St & 2 Ave /Renovated studio/ Elevator/ Laundry,1475015,Mike,Manhattan,Midtown,40.76102,-73.96555,Entire home/apt,87,30,2,2/19/2017,0.05,52,365
652371,ELEGANT MIDTOWN EAST STUDIO E.52 ST,1475015,Mike,Manhattan,Midtown,40.75743,-73.96939,Entire home/apt,90,30,3,12/31/2016,0.05,52,358
13544120,MY HOME / YOUR HOME /BEAUTIFUL HUGE 1BR,1475015,Mike,Manhattan,Midtown,40.75683,-73.9659,Entire home/apt,95,30,5,5/30/2019,0.23,52,342
15659791,Lovely studio near Grand Central /You will love it,1475015,Mike,Manhattan,Midtown,40.75105,-73.97045,Entire home/apt,95,30,0,,,52,297
8752714,HUGE STUDIO! LOFT STYLE! PRIVATE !,1475015,Mike,Manhattan,Midtown,40.75618,-73.966,Entire home/apt,100,30,2,4/17/2016,0.05,52,365
1145288,5 STARS***MIDTOWN EAST-BRAND NEW!!!,1475015,Mike,Manhattan,Midtown,40.75274,-73.97026,Entire home/apt,110,30,3,7/4/2016,0.06,52,365
3040585,Awesome Studio East 58&3rd avenue! ,1475015,Mike,Manhattan,Midtown,40.76132,-73.96612,Entire home/apt,115,30,0,,,52,342
5123033,BEAUTIFUL 2 BED/ BRICK WALLS/ 52ST,1475015,Mike,Manhattan,Midtown,40.75587,-73.96856,Entire home/apt,115,30,0,,,52,281
8740683,AMAZING  2BR Apartment Elev/laundry!,1475015,Mike,Manhattan,Midtown,40.7569,-73.96408,Entire home/apt,115,30,1,1/27/2017,0.03,52,341
12887457,HUGE AMAZING STUDIO/ FEEL LIKE HOME,1475015,Mike,Manhattan,Midtown,40.75754,-73.96943,Entire home/apt,115,30,0,,,52,343
12856529,COZY APARTMENT NEXT TO CENTRAL PARK,1491770,Rene,Manhattan,Midtown,40.76386,-73.97702,Entire home/apt,180,3,1,5/21/2016,0.03,1,0
2043060,"Clean, spacious entire 1br in NYC!",1499286,Andrey,Manhattan,Midtown,40.76326,-73.98165,Entire home/apt,395,5,37,6/9/2019,0.55,2,350
1844088,Renovated Studio Midtown East,1512462,Evan & Maria,Manhattan,Midtown,40.7525,-73.96492,Entire home/apt,215,4,130,5/31/2019,1.92,2,270
12317903,Newly Renovated Studio Midtown East,1512462,Evan & Maria,Manhattan,Midtown,40.75489,-73.9666,Entire home/apt,239,4,132,6/21/2019,3.39,2,242
10609249,Magnificent New 2 BR near park Ave,1515120,Dino,Manhattan,Midtown,40.755,-73.96562,Private room,325,3,9,12/28/2016,0.23,1,88
328040,"Awesome views, Central location",1676487,Robyn,Manhattan,Midtown,40.75023,-73.98293,Entire home/apt,299,10,19,6/11/2019,0.27,1,101
33909511,Executive room for professional.,1709718,Victoria,Manhattan,Midtown,40.7651,-73.97808,Private room,199,1,1,4/29/2019,0.42,2,350
11640318,"Executive Room Central Park-Comfort,Classy-Midtown",1709718,Victoria,Manhattan,Midtown,40.76453,-73.97769,Private room,285,1,32,1/2/2019,1.39,2,365
645922,Gorgeous Modern Manhattan Apt,1740784,Gal,Manhattan,Midtown,40.74648,-73.98459,Private room,100,3,41,9/25/2015,0.52,1,0
30133020,Beautiful 1-BedroomApt in Midtown NYC Manhattan!,1813055,Moshe,Manhattan,Midtown,40.75876,-73.96153,Entire home/apt,162,1,0,,,1,51
26941551,Charming Duplex with spacious & private back yard,1902114,J.D.,Manhattan,Midtown,40.75707,-73.96417,Entire home/apt,250,2,12,7/6/2019,1.01,1,14
12731689,Flatiron NYC 1 Bed/1 Bath Apt!,1911171,Justin,Manhattan,Midtown,40.7421,-73.98319,Entire home/apt,240,4,59,6/17/2019,1.56,1,37
386799,Midtown NYC - 1 Bedroom Apartment,1935605,Jon,Manhattan,Midtown,40.76082,-73.97548,Entire home/apt,250,3,116,1/3/2016,1.32,1,0
8407963,Gilded Age Bohemia,1938669,Amanda,Manhattan,Midtown,40.74268,-73.98401,Entire home/apt,185,4,15,5/19/2019,0.33,1,7
30731674,Spacious studio in the heart of NYC,1995636,Oleg,Manhattan,Midtown,40.75634,-73.96519,Entire home/apt,225,30,1,4/20/2019,0.37,1,108
413775,Midtown East Sutton Area Entire Apt,2058589,Cary,Manhattan,Midtown,40.75816,-73.96457,Entire home/apt,275,2,16,5/9/2019,0.24,1,167
424767,"Chic, Spacious Loft + Backyard",2103888,Akari,Manhattan,Midtown,40.74406,-73.98273,Entire home/apt,325,2,197,6/20/2019,2.25,1,207
7839096,prime midtown~charming Huge Loft~hi,2119276,Host,Manhattan,Midtown,40.74926,-73.98201,Entire home/apt,250,30,2,8/12/2018,0.04,39,98
8001648,New 3BR~Prime Midtown~Design Loft,2119276,Host,Manhattan,Midtown,40.74947,-73.98257,Entire home/apt,250,90,3,5/31/2017,0.08,39,0
11512962,Central Park 2BR Luxury building~24H DM Newly Reno,2119276,Host,Manhattan,Midtown,40.76687,-73.98273,Entire home/apt,400,30,2,12/11/2016,0.06,39,188
17076329,"Discount at Manhattan Club NYC,  June 16-19, 2019",2190447,Stacey,Manhattan,Midtown,40.7658,-73.98218,Entire home/apt,275,7,0,,,1,0
22395320,Manhattan Luxury Doorman Loft in Midtown South,2257005,Sean,Manhattan,Midtown,40.74989,-73.98231,Private room,100,3,31,3/15/2019,1.8,1,0
490278,Lovely 1BR - Midtown East by metro!,2424873,A.B.,Manhattan,Midtown,40.75632,-73.96464,Entire home/apt,99,14,30,3/2/2018,0.35,1,317
12423497,Luxury building studio apartment,2455544,Viola,Manhattan,Midtown,40.76507,-73.98393,Entire home/apt,140,5,1,5/4/2016,0.03,1,0
1210916,Stylish apt in the heart of NYC!,2554853,Nim,Manhattan,Midtown,40.75099,-73.96994,Entire home/apt,200,1,7,4/12/2019,0.1,1,358
30043754,Spacious bedroom in Midtown East Manhattan,2559403,Belen,Manhattan,Midtown,40.75959,-73.97084,Private room,100,3,1,12/31/2018,0.16,1,0
24865151,Luxury Central Park Views Iconic building,2570750,Wolf,Manhattan,Midtown,40.76682,-73.97943,Entire home/apt,1195,3,27,5/13/2019,1.94,1,40
16542864,MANHATTAN STUDIO SUITE SLEEPS 2 GUEST,2677753,Regina,Manhattan,Midtown,40.76501,-73.98076,Private room,895,2,0,,,1,365
1994398,Spring and Summer in New York - Near Central Park,2719126,Nadia,Manhattan,Midtown,40.76663,-73.98069,Entire home/apt,345,5,19,6/12/2019,0.33,1,192
9024193,LUXURY XLARGE/24/7 DOORMAN~MIDTOWN,2856748,Ruchi,Manhattan,Midtown,40.75251,-73.97262,Entire home/apt,175,30,0,,,49,365
11156579,TOWNHOUSE CHARME IN CITY~EAST 59th STUDIO,2856748,Ruchi,Manhattan,Midtown,40.7591,-73.96334,Entire home/apt,180,30,1,6/2/2016,0.03,49,364
11595739,CHIC STUDIOS ON E 54TH~PRIME LOCATION~SUTTON PLACE,2856748,Ruchi,Manhattan,Midtown,40.75505,-73.96484,Entire home/apt,185,30,0,,,49,364
11488593,LUXURY DOORMAN STUDIO ON EAST 44th STREET,2856748,Ruchi,Manhattan,Midtown,40.75066,-73.97037,Entire home/apt,198,30,0,,,49,364
11557387,EAST RIVER VIEW~HIRISE STUDIO,2856748,Ruchi,Manhattan,Midtown,40.75453,-73.96473,Entire home/apt,205,30,0,,,49,364
18748038,RIVER VIEWS- EAST 52ND LUXURY 1 BR APARTMENT,2856748,Ruchi,Manhattan,Midtown,40.75403,-73.96343,Entire home/apt,225,30,0,,,49,364
9024661,TRUE2BR-PRIME MIDTOWN EAST~53rd&3rd,2856748,Ruchi,Manhattan,Midtown,40.75759,-73.96902,Entire home/apt,230,30,0,,,49,332
18573121,LUXURY 1BR ON EAST 44TH~DOORMAN/LAUNDRY,2856748,Ruchi,Manhattan,Midtown,40.75194,-73.97068,Entire home/apt,232,30,2,11/17/2018,0.1,49,364
9146175,BRAND NEW RENOVATED 2BR~TIMES SQR,2856748,Ruchi,Manhattan,Midtown,40.75687,-73.97321,Entire home/apt,245,30,1,8/15/2016,0.03,49,331
11750766,SWEEPING VIEWS 23d FLR~SUTTON PLACE,2856748,Ruchi,Manhattan,Midtown,40.75754,-73.96129,Entire home/apt,245,30,0,,,49,334
15297862,LUXURY SUTTON PLACE RESIDENCY~DOORMAN/GYM/ELEVATOR,2856748,Ruchi,Manhattan,Midtown,40.75936,-73.96293,Entire home/apt,250,30,0,,,49,364
18782857,SUTTON PLACE 1BR WITH VIEWS~EAST 57TH,2856748,Ruchi,Manhattan,Midtown,40.75794,-73.96143,Entire home/apt,315,30,0,,,49,364
29674137,SOUTH RIVER VIEWS/DOORMAN-E 52nd ST,2856748,Ruchi,Manhattan,Midtown,40.75565,-73.9634,Entire home/apt,330,30,0,,,49,365
19114277,LUXURY!30TH FLR SWEEPING RIVER VIEWS -SUTTON PLACE,2856748,Ruchi,Manhattan,Midtown,40.75775,-73.96132,Entire home/apt,350,30,0,,,49,364
11595172,LUXURY 2 BR 2 BATH -WASHER/DRYER/DOORMAN-E 52nd ST,2856748,Ruchi,Manhattan,Midtown,40.75615,-73.9649,Entire home/apt,355,30,0,,,49,364
14177069,AS CENTRAL AS YOU CAN GET ~SUTTON PLACE 3BR-LUXURY,2856748,Ruchi,Manhattan,Midtown,40.75546,-73.96454,Entire home/apt,375,30,0,,,49,245
19115443,26th FLOOR-RIVER VIEWS& MASSIVE SPACE-SUTTON PLACE,2856748,Ruchi,Manhattan,Midtown,40.75905,-73.96142,Entire home/apt,475,30,0,,,49,343
17256799,URBAN LUXURY 2BR DUPLEX~24/7 DOORMAN/GYM~SUTTON PL,2856748,Ruchi,Manhattan,Midtown,40.75802,-73.96125,Entire home/apt,500,90,0,,,49,364
7839972,Manhattan Penthouse 1 Bdrm Apt,2905589,Phong,Manhattan,Midtown,40.74645,-73.9853,Entire home/apt,239,4,4,10/26/2015,0.09,1,0
4782799,Spacious Studio- Midtown Manhattan!,2910317,Megan,Manhattan,Midtown,40.7555,-73.96575,Entire home/apt,225,1,14,4/26/2016,0.25,1,0
6493288,NY City for the 4th of July!,2938550,Jon,Manhattan,Midtown,40.76571,-73.98023,Entire home/apt,300,1,0,,,1,0
9253505,Spacious room in Midtown East,3001268,Tianni,Manhattan,Midtown,40.75261,-73.97063,Private room,99,1,0,,,1,0
29295665,NYC Central Park Lux Hotel w/ Brfast & Dinner incl,3053587,Allison,Manhattan,Midtown,40.76531,-73.9789,Private room,350,3,1,4/17/2019,0.36,1,169
36203812,Spacious 2 story home in the heart of Manhattan,3061951,Wissam,Manhattan,Midtown,40.74422,-73.98172,Entire home/apt,190,5,0,,,1,10
623423,ENTIRE LUXURY MADISON AVE STUDIO,3091205,Angela,Manhattan,Midtown,40.74519,-73.98338,Entire home/apt,150,30,0,,,1,352
1989838,Luxury 4 BD NYC Times Sq Apartment,3185905,Patrick,Manhattan,Midtown,40.76316,-73.98109,Entire home/apt,1500,1,0,,,1,0
17510139,❤ of Manhattan | Fantastic 1 Bedroom,3191545,Kyle,Manhattan,Midtown,40.76501,-73.98312,Entire home/apt,195,30,0,,,23,364
13436088,• Eye Catching Views  | Luxurious 1 Bedroom •,3191545,Kyle,Manhattan,Midtown,40.76569,-73.98281,Entire home/apt,219,30,8,6/30/2017,0.3,23,362
30133610,Cozy Mid-Town East Penthouse With Terrace,3202935,Cricket,Manhattan,Midtown,40.75199,-73.9725,Entire home/apt,350,3,17,5/30/2019,2.49,1,33
21881810,CASA EVOL,3212890,Lisa,Manhattan,Midtown,40.76733,-73.98074,Entire home/apt,160,3,52,6/26/2019,2.66,1,27
32163798,"BEST LOCATION! Flatiron! Large 2 Bedroom, Terrace",3280640,Seth,Manhattan,Midtown,40.74437,-73.98848,Entire home/apt,250,3,18,7/1/2019,3.83,1,26
29259580,"Spacious duplex, fits 5, perf midtown location!",3292437,Peter,Manhattan,Midtown,40.75228,-73.9695,Entire home/apt,250,2,20,6/23/2019,2.3,1,0
655783,Chic Luxe 1BR 1.5BA 900sf -Midtown ,3301845,Alana,Manhattan,Midtown,40.75663,-73.96681,Entire home/apt,285,7,10,7/6/2019,3.53,1,0
23120062,Quiet & Convenient in heart of midtown,3324577,Jessica,Manhattan,Midtown,40.7592,-73.97017,Private room,95,2,56,6/30/2019,3.33,1,54
9242243,Cozy 1bdrm apt in Midtown Manhattan,3335559,Sworupa,Manhattan,Midtown,40.76362,-73.97542,Private room,180,1,10,6/6/2019,0.3,1,175
21963418,Big Studio at Grand Central Station area.,3368678,Jose,Manhattan,Midtown,40.75232,-73.9689,Entire home/apt,210,3,21,6/13/2019,1.11,1,209
698094,5th Ave Apartment in Midtown! ,3569392,Kristen,Manhattan,Midtown,40.76221,-73.97787,Private room,120,4,31,8/26/2016,0.38,1,0
27677746,Private floor / bedroom/ bathroom + TERRACE!,3598079,Kristina,Manhattan,Midtown,40.75453,-73.96841,Private room,120,1,12,6/5/2019,1.11,1,0
9904570,HighRise Bryant Park Apt w NYC View,3631872,Rui,Manhattan,Midtown,40.75342,-73.98729,Entire home/apt,200,4,3,3/22/2016,0.07,1,0
13019333,Sunny 1BR next to Central Park,3671013,Neha,Manhattan,Midtown,40.76232,-73.97614,Private room,100,2,0,,,2,0
13156998,1 BR / studio right by Central Park,3671013,Neha,Manhattan,Midtown,40.76365,-73.97754,Entire home/apt,200,1,0,,,2,0
756892,Clean Bright Midtown Studio by Park,3731320,Sara,Manhattan,Midtown,40.75982,-73.96521,Entire home/apt,125,4,3,4/28/2015,0.04,1,0
21161871,Entire apartment in Turtle Bay,3778274,AJ And Freddy,Manhattan,Midtown,40.75643,-73.96847,Entire home/apt,120,2,7,1/1/2019,0.36,2,0
4566571,Penthouse loft with private patio,3814458,Ole,Manhattan,Midtown,40.75186,-73.98557,Entire home/apt,450,3,12,4/10/2016,0.23,1,0
732700,Centrally located and spacious apt.,3815537,Reshma,Manhattan,Midtown,40.75154,-73.97104,Entire home/apt,106,7,10,7/6/2019,10,1,0
16678104,"Wyndham Midtown: E 45th St., NYC",3843799,BNB-Resorts By RC,Manhattan,Midtown,40.75382,-73.97192,Entire home/apt,165,3,4,11/7/2017,0.18,1,0
5286096,Amazing Studio-EmpireStateBuilding,3866196,Guillaume,Manhattan,Midtown,40.7461,-73.98632,Entire home/apt,281,1,3,4/22/2016,0.07,1,0
745037,Luxury Locale Sunny 1BR Suite,3906249,Page,Manhattan,Midtown,40.76412,-73.97666,Entire home/apt,170,7,83,6/23/2019,1.04,1,203
7093979,1st Floor 3 Bedroom Apt Midtown NYC,3946744,Raj,Manhattan,Midtown,40.75651,-73.96696,Entire home/apt,450,2,0,,,1,0
8672280,Large  Studio - Midtown Manhattan Near Times Sq,4068325,Regina,Manhattan,Midtown,40.75594,-73.96874,Entire home/apt,250,3,8,6/16/2019,0.19,1,1
9064238,Large 1-bedroom  in midtown sleeps 1-4 people,4166175,Rob,Manhattan,Midtown,40.75454,-73.97083,Entire home/apt,103,6,0,,,1,0
10233563,纽约市曼哈顿中城East 52nd st_2室1厅_$4500/月,4227531,Wendy,Manhattan,Midtown,40.75686,-73.96723,Entire home/apt,230,180,0,,,1,365
24075850,Cozy private room in Times Square/Rockefeller,4227606,Cindy,Manhattan,Midtown,40.75866,-73.98032,Private room,100,3,13,1/1/2019,0.88,2,0
21766169,Cozy 2BR in Rockefeller Center / Times Square,4227606,Cindy,Manhattan,Midtown,40.75697,-73.97909,Entire home/apt,255,4,5,5/4/2018,0.26,2,0
18942119,Studio apartment near Columbus Circle/Central Park,4264890,Amedeo,Manhattan,Midtown,40.76461,-73.98263,Entire home/apt,145,3,66,6/10/2019,2.61,1,9
2102571,Studio Midtown East,4265753,Dai,Manhattan,Midtown,40.75426,-73.96886,Entire home/apt,140,3,2,4/7/2017,0.07,1,0
25157795,Spacious 1-bedroom apartment in prime Midtown East,4294646,Maggie,Manhattan,Midtown,40.75377,-73.96609,Entire home/apt,90,30,4,7/1/2019,0.35,1,0
19269531,"Steps away from Grand Central, cute & cozy!",4297109,Christian,Manhattan,Midtown,40.75334,-73.97278,Entire home/apt,195,2,5,10/1/2017,0.2,1,0
17189799,Spacious Studio - Midtown East,4316106,George,Manhattan,Midtown,40.7544,-73.96721,Entire home/apt,200,2,43,4/10/2019,1.48,1,0
19931860,West 57th Street by Hilton Midtown Manhattan,4335080,Tiffany,Manhattan,Midtown,40.76394,-73.97825,Entire home/apt,350,1,1,12/6/2017,0.05,2,365
839058,Midtown Lux Manhattan by 5th Ave,4383196,David,Manhattan,Midtown,40.76188,-73.97193,Entire home/apt,269,5,15,1/3/2017,0.22,1,0
7760808,West 57th Hilton Breakfast/Wine 30 sec from Parade,4403646,Paul,Manhattan,Midtown,40.76352,-73.9777,Entire home/apt,319,4,9,9/9/2018,0.24,1,358
14148988,"Heart of Manhattan, affordable place!",4478946,Elka,Manhattan,Midtown,40.75247,-73.97305,Entire home/apt,153,1,1,7/31/2016,0.03,1,0
35618225,Huge studio in a doorman bld in midtown manhattan,4481028,Sanket,Manhattan,Midtown,40.75249,-73.9689,Entire home/apt,140,3,1,6/20/2019,1,1,5
33010488,Midtown Pied-à-Terre Close to Central Park,4688336,Richard,Manhattan,Midtown,40.76049,-73.97066,Entire home/apt,225,6,1,5/7/2019,0.48,1,0
6862482,$100 per night with purchase agreement.,4754282,Daniel,Manhattan,Midtown,40.76493,-73.98066,Entire home/apt,700,2,5,12/23/2018,0.1,1,63
31143457,Empire State Building Views in Luxury 1 Bedroom,4783028,Emma,Manhattan,Midtown,40.75334,-73.98719,Entire home/apt,250,2,4,6/10/2019,1.12,1,0
15633514,Great Bedroom in Homey Apartment,4808861,Christian,Manhattan,Midtown,40.75622,-73.96768,Private room,125,1,0,,,1,0
13246804,One cozy private BR close to the mecca of shopping,4832845,Gg,Manhattan,Midtown,40.76026,-73.9659,Private room,80,1,275,7/3/2019,7.45,1,45
26004664,Luxurious 2bed/2.5bath with Central Park Views,4876826,Alex,Manhattan,Midtown,40.76591,-73.97886,Entire home/apt,333,12,1,9/24/2018,0.1,1,110
13272041,A queen size bed with a cat near Grand Central,4920111,Emily,Manhattan,Midtown,40.75242,-73.97261,Private room,100,1,4,10/9/2016,0.11,1,0
22938753,Luxury Studio near Central Park - Times Square,4920221,UBliss,Manhattan,Midtown,40.76551,-73.98315,Entire home/apt,189,29,3,10/27/2018,0.27,1,358
1171955,Manhattan apt in the centre of it!,4922378,Erin,Manhattan,Midtown,40.74568,-73.98321,Entire home/apt,275,7,6,10/9/2016,0.08,1,191
35740337,"CENTRAL PARK APARTMENT 
BEST LOCATION IN NYC",4955986,Michael,Manhattan,Midtown,40.76364,-73.97589,Entire home/apt,249,2,0,,,1,253
13082600,Cozy 1 bedroom apartment in the heart of Manhattan,4980733,Simona,Manhattan,Midtown,40.75584,-73.96979,Entire home/apt,300,1,38,6/27/2019,1.01,1,361
1869202,Cozy & Sunny central Manhattan APT!,5008954,Mich,Manhattan,Midtown,40.7582,-73.96692,Entire home/apt,100,2,19,2/20/2016,0.28,1,0
1911641,"Modern Midtown Apt, close to MoMA",5032943,Michael,Manhattan,Midtown,40.75876,-73.96854,Entire home/apt,175,30,2,3/23/2015,0.04,1,342
7349064,Luxury apartment near Central Park,5042891,Alon,Manhattan,Midtown,40.76579,-73.98057,Entire home/apt,260,5,0,,,1,0
22673257,Studio Apartment Above Stephen Colbert Show,5079985,Teena,Manhattan,Midtown,40.76334,-73.98257,Entire home/apt,165,2,4,4/17/2018,0.24,1,188
2206311,Modern Studio in Midtown East,5149997,Christine,Manhattan,Midtown,40.75701,-73.96781,Entire home/apt,140,3,0,,,1,0
11164599,Top Floor Apartment with Roof Access.,5162894,Catherine,Manhattan,Midtown,40.74389,-73.98515,Private room,120,1,28,5/19/2019,0.89,1,17
30597566,"Central Park S. Doorman, elevator, laundry, bedroo",5300413,James,Manhattan,Midtown,40.76698,-73.97988,Private room,60,30,0,,,1,125
