,id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
3416,2050406,"Bright, Huge 1Bdrm in Midtown",10406601,Manhattan,Midtown,40.7552,-73.9724,Entire home/apt,250,1,0,0
3434,2060720,Charming Jr. 1 bedroom Midtown,9563358,Manhattan,Midtown,40.75184,-73.97199,Entire home/apt,106,7,3,4
3519,2102571,Studio Midtown East,4265753,Manhattan,Midtown,40.754259999999995,-73.96885999999999,Entire home/apt,140,3,2,0
3591,2145620,"Bright, Lovely, Private Room in Midtown Manhattan",10949644,Manhattan,Midtown,40.75667,-73.96464,Private room,97,3,177,58
3636,2186138,Superbowl - NYC Apartment,11147328,Manhattan,Midtown,40.75764,-73.96826999999999,Entire home/apt,950,1,0,0
3664,2206311,Modern Studio in Midtown East,5149997,Manhattan,Midtown,40.75701,-73.96781,Entire home/apt,140,3,0,0
3689,2222428,Large 1-BR Apt w/Fireplace & Patio,11339193,Manhattan,Midtown,40.74364,-73.98303,Entire home/apt,1000,3,0,0
3697,2228296,Super Bowl 2014,11371978,Manhattan,Midtown,40.76402,-73.9777,Entire home/apt,750,4,0,0
3784,2276065,PERFECT SUPERBOWL STAY,9451697,Manhattan,Midtown,40.75225,-73.98725,Entire home/apt,1500,1,0,0
3789,2281147,Midtown Gem/ Carnegie Hall/theaters/ Central Park,7580102,Manhattan,Midtown,40.76292,-73.98128,Private room,250,3,6,170
3807,2294594,Hilton timeshare west 57st  ,11721588,Manhattan,Midtown,40.76486,-73.97885,Private room,600,1,0,0
4004,2514689,3 BEDS IN LOVELY 2BEDROOM/2BATH MIDTOWN RENTAL,12872352,Manhattan,Midtown,40.758790000000005,-73.96413000000001,Entire home/apt,399,1,87,267
4070,2599963,Amazing Penthouse Studio (Midtown East),13314076,Manhattan,Midtown,40.75529,-73.96897,Entire home/apt,99,6,15,0
4148,2683387,Great Room In Mid Town New York NYC,11837926,Manhattan,Midtown,40.76419,-73.98018,Private room,140,7,49,296
4154,2686002,Large Clean Room Midtown East NYC,13749425,Manhattan,Midtown,40.754129999999996,-73.96791999999999,Private room,100,2,198,305
4205,2743624,Luxury 2 BEDS/2 BATH Midtown/Central Park,8511789,Manhattan,Midtown,40.765440000000005,-73.98186,Entire home/apt,409,1,3,0
4221,2763206,COZY PRIVATE BR AT59TH ST MANHATTAN,14133008,Manhattan,Midtown,40.75967,-73.96595,Private room,78,12,43,49
4272,2823023,"Cozy One Bedroom + Loft in Manhattan, NYC",14441566,Manhattan,Midtown,40.76147,-73.9761,Entire home/apt,200,4,7,32
4278,2835159,Large studio,7915183,Manhattan,Midtown,40.75546,-73.96762,Entire home/apt,240,1,1,0
4350,2924588,"Exclusive Manhattan , 24 h doormen",14933223,Manhattan,Midtown,40.75293,-73.97173000000001,Private room,110,14,9,21
4381,2958912,STUNNING! 1BD Jr in Midtown East NY,15100977,Manhattan,Midtown,40.75969,-73.96644,Entire home/apt,140,300,0,365
4445,3040585,Awesome Studio East 58&3rd avenue! ,1475015,Manhattan,Midtown,40.76132,-73.96611999999999,Entire home/apt,115,30,0,342
4561,3176553,Studio Plus at Hilton West 57th ,16107699,Manhattan,Midtown,40.76552,-73.97738000000001,Entire home/apt,429,2,0,0
4594,3212765,A single room  that converts  with bathroom,11837926,Manhattan,Midtown,40.76429,-73.98043,Private room,125,7,17,309
4642,3251014,Cozy but Cool:Huge 1bed in ❤️of NY,8349905,Manhattan,Midtown,40.76016,-73.96597,Entire home/apt,234,4,5,0
4652,3264261,Spacious Studio in Midtown,5668550,Manhattan,Midtown,40.75182,-73.97052,Entire home/apt,175,3,18,0
4738,3344237,Stay in the heart of the East side!,16879147,Manhattan,Midtown,40.75958,-73.96231,Private room,125,2,55,348
4769,3375998,"Manhattan Club Dec. 23-30, 2017",17032761,Manhattan,Midtown,40.76423,-73.98187,Private room,400,7,5,0
4832,3434303,Cute Studio in Midtown East/UES!,16914467,Manhattan,Midtown,40.75812,-73.96171,Entire home/apt,150,2,4,0
4957,3552693,"2 room, by Sutton Place",17885257,Manhattan,Midtown,40.75503,-73.96710999999999,Entire home/apt,180,1,0,0
4968,3559515,"Christmas in NYC! Spacious King Suite, 2 bath apt",17920050,Manhattan,Midtown,40.765240000000006,-73.98018,Entire home/apt,308,2,9,0
5002,3600496,Large & Spacious **Prime Location ,12485770,Manhattan,Midtown,40.74596,-73.98411,Entire home/apt,148,30,9,329
5086,3654511,ROOFTOP SWIMMING-POOL 1/BR APT.,15784,Manhattan,Midtown,40.7509,-73.96963000000001,Entire home/apt,250,5,2,0
5102,3664439,"Murray Hill, The Heart of Manhattan",6913016,Manhattan,Midtown,40.749109999999995,-73.98201999999999,Private room,95,3,67,355
5177,3738815,"Large apartment, 2BR, Midtown NYC! 3D",17770287,Manhattan,Midtown,40.750679999999996,-73.98177,Entire home/apt,136,30,9,220
5218,3769257,Spacious Stylish Sunny Retreat,19315796,Manhattan,Midtown,40.75911,-73.96299,Private room,70,1,0,0
5221,3772256,Modern Studio at The Manhattan Club,15765273,Manhattan,Midtown,40.76514,-73.98058,Private room,350,1,9,0
5224,3775978,Private Room in Flatiron,19359650,Manhattan,Midtown,40.74596,-73.98678000000001,Private room,130,3,10,0
5355,3866888,Midtown NYC 2bdrm with patio! 2D,17770287,Manhattan,Midtown,40.7495,-73.98313,Entire home/apt,150,30,13,331
5498,3979360,!!Studio next to Empire State Bldg.,20624434,Manhattan,Midtown,40.74819,-73.9856,Entire home/apt,240,3,7,0
5792,4221999,Spacious & Bright: 1 BR Midtown!,20335235,Manhattan,Midtown,40.755759999999995,-73.96548,Entire home/apt,225,1,10,0
5856,4274443,Wyndham 45 Midtown NYC,22131245,Manhattan,Midtown,40.75195,-73.97191,Private room,260,2,1,177
5867,4278084,Midtown NYC Studio Apartment 4E,17770287,Manhattan,Midtown,40.75062,-73.98246999999999,Entire home/apt,75,30,13,167
6031,4417147,New year in New York City,22927481,Manhattan,Midtown,40.765640000000005,-73.98013,Private room,425,7,1,0
6199,4537389,New Years In New York City,22927481,Manhattan,Midtown,40.76377,-73.98103,Private room,400,3,0,0
6249,4566571,Penthouse loft with private patio,3814458,Manhattan,Midtown,40.75186,-73.98557,Entire home/apt,450,3,12,0
6514,4727889,Beautiful Light Filled Apartment in New York City!,10679309,Manhattan,Midtown,40.745779999999996,-73.98076,Entire home/apt,130,1,3,0
6577,4760076,Beautiful Apt in the Center of NYC,7741110,Manhattan,Midtown,40.74245,-73.9845,Entire home/apt,220,4,149,287
6619,4777745,"600 SF appartment in NYC, Manhattan",24639120,Manhattan,Midtown,40.760220000000004,-73.9744,Entire home/apt,235,6,13,0
6627,4782799,Spacious Studio- Midtown Manhattan!,2910317,Manhattan,Midtown,40.7555,-73.96575,Entire home/apt,225,1,14,0
6664,4796070,1A GREAT  APT NEW YORK CITY !!!,24715671,Manhattan,Midtown,40.74439,-73.98329,Entire home/apt,275,30,39,365
6666,4798723,Adorable sunny studio great area-For monthly stays,23982388,Manhattan,Midtown,40.75235,-73.96781,Entire home/apt,105,30,2,315
6674,4802648,One Bed Room Apt In Midtown East,13026391,Manhattan,Midtown,40.75456,-73.96625999999999,Entire home/apt,165,2,11,0
6682,4808065,Midtown East Lovely Nice Studio,23982388,Manhattan,Midtown,40.75244,-73.96619,Entire home/apt,125,30,5,331
6683,4808239,Loft Studio Near UN Building-30 days min stay,23982388,Manhattan,Midtown,40.75248,-73.96695,Entire home/apt,95,30,3,318
6685,4808745,Monthly studio-heart of Manhattan,23982388,Manhattan,Midtown,40.75427,-73.96689,Entire home/apt,85,30,2,83
6726,4824849,2 Bedrooom- near Columbus Circle,24844621,Manhattan,Midtown,40.766090000000005,-73.98038000000001,Entire home/apt,200,1,0,0
6836,4885975,Large Bedroom by Grand Central Station in NYC,21817218,Manhattan,Midtown,40.75163,-73.9722,Private room,90,7,27,35
6901,4936023,Nice studio in Midtown Manhattan,8183266,Manhattan,Midtown,40.75462,-73.96869000000001,Entire home/apt,99,2,168,46
6967,4994266,Midtown Launching Pad,24620881,Manhattan,Midtown,40.75765,-73.96466,Entire home/apt,135,1,168,287
7023,5049823,NYC New Years Penthouse suite,22927481,Manhattan,Midtown,40.7655,-73.98018,Private room,500,3,1,0
7093,5123033,BEAUTIFUL 2 BED/ BRICK WALLS/ 52ST,1475015,Manhattan,Midtown,40.75587,-73.96856,Entire home/apt,115,30,0,281
7170,5232570,"Cozy room awaits, best location, center of NYC",27081028,Manhattan,Midtown,40.759,-73.9701,Private room,55,1,16,0
7178,5240711,2 BEDROOM IN MIDTOWN EAST,27121854,Manhattan,Midtown,40.752390000000005,-73.9707,Entire home/apt,289,10,169,3
7198,5262333,Excellent Midtown Location!,27053744,Manhattan,Midtown,40.76186,-73.97324,Entire home/apt,149,3,1,0
7222,5286096,Amazing Studio-EmpireStateBuilding,3866196,Manhattan,Midtown,40.7461,-73.98631999999999,Entire home/apt,281,1,3,0
7274,5343821,Quiet Midtown Oasis - Sutton Place,27589508,Manhattan,Midtown,40.756240000000005,-73.96417,Entire home/apt,200,2,84,272
7280,5352802,Unique loft space in the middle of Manhattan!,5740424,Manhattan,Midtown,40.75045,-73.98456,Entire home/apt,200,6,1,0
7390,5478741,"Garden, Walk to Empire State, B'way, Subway 2 Blks",28411613,Manhattan,Midtown,40.74447,-73.98362,Entire home/apt,524,3,57,115
7439,5536824,2  BEDROOM GREAT  APT ON  LEXINGTON  AVE MUST SEE,24715671,Manhattan,Midtown,40.742940000000004,-73.98499,Entire home/apt,200,30,9,342
7523,5627944,Huge Studio Midtown Manhattan -BEST,29167335,Manhattan,Midtown,40.7555,-73.96826,Entire home/apt,182,4,56,148
7524,5628539,3 B   GREAT 1BR APT IN NEW YORK CITY,24715671,Manhattan,Midtown,40.74197,-73.98373000000001,Entire home/apt,209,30,14,0
7639,5756241,1 bedroom in a 2 bedroom apartment,11732381,Manhattan,Midtown,40.75858,-73.96342,Entire home/apt,200,2,0,0
7679,5796405,Manhattan Condo at Midtown 45,24126726,Manhattan,Midtown,40.75245,-73.97341999999999,Private room,295,1,6,0
7958,6106544,Beautiful HUGE Studio.. 52ST 3AVE.,1475015,Manhattan,Midtown,40.756209999999996,-73.96802,Entire home/apt,85,30,4,342
7964,6115275,Cozy studio near Grand Central,8164199,Manhattan,Midtown,40.751020000000004,-73.97447,Entire home/apt,180,1,0,0
7967,6117496,The Manhattan Club studio New York,30787515,Manhattan,Midtown,40.76365,-73.98057,Entire home/apt,299,2,8,176
8069,6226327,Midtown EAST 1 BDR APT -  BEST area of Manhattan,29167335,Manhattan,Midtown,40.755309999999994,-73.96600000000001,Entire home/apt,182,4,51,317
8128,6268515,Large bedroom outside Times Square!,32576167,Manhattan,Midtown,40.75179,-73.98606,Private room,85,1,0,0
8271,6364404,Luxury High-Rise in Center of NYC/Manhattan,6415669,Manhattan,Midtown,40.74832,-73.98814,Entire home/apt,190,6,0,0
8281,6373379,Large Apartment w/ Amenities,33212205,Manhattan,Midtown,40.75506,-73.96887,Entire home/apt,250,1,0,0
8395,6452019,Loft Studio Midtown Lux Doorman,17408676,Manhattan,Midtown,40.74957,-73.98255,Entire home/apt,195,3,5,0
8397,6452138,Large Midtown East Duplex,12060709,Manhattan,Midtown,40.75545,-73.96896,Private room,125,1,0,0
8430,6476242,Huge duplex apartment with garden!,33833944,Manhattan,Midtown,40.76015,-73.96378,Entire home/apt,247,5,25,0
8434,6477558,2 Bdrm apt Near Empire State Building,17770287,Manhattan,Midtown,40.75085,-73.98266,Entire home/apt,150,30,5,217
8455,6493288,NY City for the 4th of July!,2938550,Manhattan,Midtown,40.76571,-73.98023,Entire home/apt,300,1,0,0
8490,6534409,Unbelievable NYC Apt Avail Nov!,34174768,Manhattan,Midtown,40.75055,-73.98679,Entire home/apt,340,2,19,0
8500,6542818,Luxury Apt on Central Park South,23116237,Manhattan,Midtown,40.766220000000004,-73.97783000000001,Entire home/apt,350,1,0,364
8552,6582117,Cozy Private Bdrm/Bthrm in Midtown,23607132,Manhattan,Midtown,40.765390000000004,-73.97896999999999,Private room,180,2,62,261
8631,6637311,Spacious Contemporary NoMad Loft,34740215,Manhattan,Midtown,40.74801,-73.98817,Entire home/apt,225,3,11,0
8744,6713742,Midtown Gem - Nestled by Hotel Row,35149173,Manhattan,Midtown,40.75549,-73.97149,Entire home/apt,450,2,2,364
8802,6751450,Next to Empire State building,7209,Manhattan,Midtown,40.74642,-73.98516,Entire home/apt,220,3,108,24
8827,6767603,Quiet and spacious midtown apt,35432501,Manhattan,Midtown,40.75861,-73.96939,Private room,110,1,0,0
8944,6862482,$100 per night with purchase agreement.,4754282,Manhattan,Midtown,40.76493,-73.98066,Entire home/apt,700,2,5,63
8981,6896715,Charming 1br apartment in midtown,10489933,Manhattan,Midtown,40.76003,-73.96969,Entire home/apt,180,30,0,177
9051,6941601,Manhattan Club,36400642,Manhattan,Midtown,40.76448,-73.98187,Entire home/apt,175,7,0,0
9105,6972271,"2BR Cozy, Large & Central Apartment",31213925,Manhattan,Midtown,40.74462,-73.98272,Entire home/apt,150,2,0,0
9128,6988905,A Perfect Midtown Studio (24/hr Doorman),36133913,Manhattan,Midtown,40.7544,-73.97345,Entire home/apt,190,2,25,4
9154,7006151,Warm Cozy Manhattan Studio,36727985,Manhattan,Midtown,40.743790000000004,-73.98795,Entire home/apt,177,3,22,0
9172,7023818,Near Central Park & Grand Central,36817279,Manhattan,Midtown,40.7587,-73.96705,Private room,105,2,17,190
9234,7062446,Midtown Manhattan Hideout,16639377,Manhattan,Midtown,40.74631,-73.98550999999999,Private room,150,1,0,0
9286,7093979,1st Floor 3 Bedroom Apt Midtown NYC,3946744,Manhattan,Midtown,40.75651,-73.96696,Entire home/apt,450,2,0,0
9289,7094262,53rd & 3rd Midtown Manhattan,22625462,Manhattan,Midtown,40.75788,-73.9689,Entire home/apt,149,2,14,0
9389,7201169,midtown apartment,37243004,Manhattan,Midtown,40.75255,-73.98003,Entire home/apt,167,1,0,0
9575,7349064,Luxury apartment near Central Park,5042891,Manhattan,Midtown,40.76579,-73.98057,Entire home/apt,260,5,0,0
9612,7383804,1 room available for in midtown NYC,38678875,Manhattan,Midtown,40.75277,-73.96686,Private room,70,1,2,0
9643,7403613,Spacious NOMAD 1 BR for 4,1405974,Manhattan,Midtown,40.74603,-73.98364000000001,Entire home/apt,150,3,1,0
9644,7403721,Manhattan Club sleeps 4,38796373,Manhattan,Midtown,40.76441,-73.98058,Entire home/apt,386,7,0,0
9782,7516992,Bedroom in Midtown Apartment,29544115,Manhattan,Midtown,40.75737,-73.96916,Private room,70,1,1,0
9821,7559243,Christmas in New York,39624147,Manhattan,Midtown,40.76372,-73.98080999999999,Entire home/apt,700,7,0,0
9838,7563717,Spacious Studio in Midtown East,39655899,Manhattan,Midtown,40.75176,-73.96921,Entire home/apt,140,1,1,0
9868,7596341,Midtown Manhattan best Location,17675081,Manhattan,Midtown,40.7601,-73.96746,Private room,125,1,0,0
9922,7637047,Beautiful Studio on Park Avenue,15090552,Manhattan,Midtown,40.74559,-73.98325,Entire home/apt,175,1,1,0
9924,7637112,Wyndham Vacation Resorts Condos,40068023,Manhattan,Midtown,40.75219,-73.97133000000001,Entire home/apt,400,6,0,0
10035,7710250,Midtown East Bedroom Available,40503855,Manhattan,Midtown,40.75669,-73.96410999999999,Private room,90,1,3,0
10118,7760808,West 57th Hilton Breakfast/Wine 30 sec from Parade,4403646,Manhattan,Midtown,40.76352,-73.9777,Entire home/apt,319,4,9,358
10199,7815865,Manhattan Club (1 bedroom/Sleeps 4),41147578,Manhattan,Midtown,40.763870000000004,-73.98021,Entire home/apt,420,1,3,0
10236,7839096,prime midtown~charming Huge Loft~hi,2119276,Manhattan,Midtown,40.74926,-73.98201,Entire home/apt,250,30,2,98
10237,7839972,Manhattan Penthouse 1 Bdrm Apt,2905589,Manhattan,Midtown,40.74645,-73.9853,Entire home/apt,239,4,4,0
10263,7857185,Midtown great location private Apt,41406733,Manhattan,Midtown,40.75399,-73.96967,Entire home/apt,135,1,214,170
10271,7858824,Spacious apt - GREAT location,27655084,Manhattan,Midtown,40.757090000000005,-73.96972,Entire home/apt,299,2,7,0
10297,7880998,NoMad One Bedroom on Park Ave,41543076,Manhattan,Midtown,40.74321,-73.98474,Entire home/apt,175,7,1,0
10398,7966358,NYC High End 2BR Midtown West Apt,30283594,Manhattan,Midtown,40.766329999999996,-73.98145,Entire home/apt,335,30,0,201
10448,8001648,New 3BR~Prime Midtown~Design Loft,2119276,Manhattan,Midtown,40.74947,-73.98257,Entire home/apt,250,90,3,0
10462,8013947,ICONIC STUDIO MIDTOWN 5TH AVENUE!,29338009,Manhattan,Midtown,40.74921,-73.98445,Entire home/apt,185,7,17,0
10496,8052841,"Bright, spacious, midtown studio",39084892,Manhattan,Midtown,40.75512,-73.96826,Entire home/apt,150,4,15,0
10528,8075854,The Manhattan Studio,42660040,Manhattan,Midtown,40.75513,-73.96446,Entire home/apt,180,4,20,13
10541,8089062,Cozy bed in Midtown,18655157,Manhattan,Midtown,40.74475,-73.98512,Shared room,55,5,32,0
10552,8105749,Beautiful 1 bedroom in city center,23613165,Manhattan,Midtown,40.75932,-73.96396,Entire home/apt,140,2,2,0
10568,8118692,Charming Studio by Bryant Park,37670256,Manhattan,Midtown,40.75245,-73.98442,Entire home/apt,170,1,3,0
10611,8162587,Studio in Midtown East (1 q+couch),43082153,Manhattan,Midtown,40.75249,-73.96866,Entire home/apt,120,4,3,0
10645,8186181,AMAZING LOCATION Large Studio Centrally Located,56350,Manhattan,Midtown,40.75463,-73.97445,Entire home/apt,124,2,14,0
10765,8281967,Stylish Studio in Midtown East,43669488,Manhattan,Midtown,40.7579,-73.96243,Entire home/apt,170,1,1,0
10792,8306839,1 Week NYC during the Holidays!,41007625,Manhattan,Midtown,40.76502,-73.98198000000001,Private room,399,6,0,0
10863,8372650,Luxurious 1BR in Herald Square,25360921,Manhattan,Midtown,40.749109999999995,-73.9877,Entire home/apt,300,3,0,0
10899,8407963,Gilded Age Bohemia,1938669,Manhattan,Midtown,40.74268,-73.98401,Entire home/apt,185,4,15,7
10902,8409178,Private large bedroom in the heart of NYC!!,25802929,Manhattan,Midtown,40.76146,-73.96649000000001,Private room,195,3,67,265
10929,8427707,Studio Condo,44382810,Manhattan,Midtown,40.75188,-73.97251999999999,Entire home/apt,455,2,0,0
10938,8439145,"Beautiful, Secure, Central NYC Apartment!",7654837,Manhattan,Midtown,40.75287,-73.97439,Entire home/apt,149,10,3,14
10962,8460304,Sleeps 4 people - Prime Madison Sq Park/Park Ave,44534342,Manhattan,Midtown,40.74568,-73.98324000000001,Entire home/apt,285,7,8,302
11042,8531441,"Monthly only, Cozy, Quaint, Central",11234583,Manhattan,Midtown,40.75547,-73.96467,Entire home/apt,100,1,0,0
11187,8664721,Private room & bathroom in the sky,23073564,Manhattan,Midtown,40.74576,-73.98146,Private room,200,2,150,0
11199,8672280,Large  Studio - Midtown Manhattan Near Times Sq,4068325,Manhattan,Midtown,40.75594,-73.96874,Entire home/apt,250,3,8,1
11228,8703355,Eclectic 1 Bdrm off  Park Ave South,7991797,Manhattan,Midtown,40.745090000000005,-73.98268,Entire home/apt,200,1,9,0
11251,8721444,Huge Apt on Central Park South,45774825,Manhattan,Midtown,40.7675,-73.98228,Entire home/apt,175,7,15,0
